forme,predicat,date,lieux,titre,article_url,lieux_detail,lieux_urls
Maxime Lelièvre,démissionne,12/10/2017 0:00,Essonne , Châteaubriant,Châteaubriant. Maxime Lelièvre démissionne du conseil municipal,http://troove.ouest-france.fr/article/MjAxN2I5OTg0YjkzYTE4MmNmYTk1NzcxODNhYzIyZTI4MGM3NQ,[{'id': 'VgM8X0tGSQGjGeZtpXC-uA', 'zone': '0', 'debut': 0, 'fin': 13, 'position': [-1.386648, 47.722157], 'departement': 'A1WTH52iRi-XwyLykBjyVw', 'forme': 'Châteaubriant'}, {'id': 'EUnXFNAVRf6sOI5A6thAuw', 'zone': '1', 'debut': 201, 'fin': 208, 'forme': 'Essonne'}, {'id': 'VgM8X0tGSQGjGeZtpXC-uA', 'zone': '2', 'debut': 274, 'fin': 287, 'position': [-1.386648, 47.722157], 'departement': 'A1WTH52iRi-XwyLykBjyVw', 'forme': 'Châteaubriant'}, {'id': 'VgM8X0tGSQGjGeZtpXC-uA', 'zone': '2', 'debut': 406, 'fin': 419, 'position': [-1.386648, 47.722157], 'departement': 'A1WTH52iRi-XwyLykBjyVw', 'forme': 'Châteaubriant'}, {'id': 'VgM8X0tGSQGjGeZtpXC-uA', 'zone': 'geographie', 'debut': 0, 'fin': 13, 'position': [-1.386648, 47.722157], 'departement': 'A1WTH52iRi-XwyLykBjyVw', 'forme': 'Châteaubriant'}],http://troove.ouest-france.fr/lieu/EUnXFNAVRf6sOI5A6thAuw?Essonne http://troove.ouest-france.fr/lieu/VgM8X0tGSQGjGeZtpXC-uA?Châteaubriant
Laurence Nicol,démissionné,15/06/2017 0:00,Lamballe , Erquy,<p>Conseil municipal. Laurence Nicol a démissionné</p>,http://troove.ouest-france.fr/article/MjAxN2FlMTMxYzZiZTQ0MzhmNDdkYTg1ODhhMTAyYWZiMjFlZQ,[{'id': 'pb6A-SV4Q6m9VXW1LS67nw', 'zone': '1', 'debut': 820, 'fin': 828, 'position': [-2.4953482, 48.46844], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Lamballe'}, {'id': 'pb6A-SV4Q6m9VXW1LS67nw', 'zone': '1', 'debut': 906, 'fin': 914, 'position': [-2.4953482, 48.46844], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Lamballe'}, {'id': 'TX6WpaxyQAeLEgrIfC1LQg', 'zone': 'geographie', 'debut': 0, 'fin': 5, 'position': [-2.4585845, 48.61942], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Erquy'}],http://troove.ouest-france.fr/lieu/TX6WpaxyQAeLEgrIfC1LQg?Erquy http://troove.ouest-france.fr/lieu/pb6A-SV4Q6m9VXW1LS67nw?Lamballe
René de Smet,adjoint,23/11/2017 0:00,Portbail , Saint-Vaast-la-Hougue , Manche,<p>Portbail. Conseil municipal</p> <p>Démission du troisième adjoint</p>,http://troove.ouest-france.fr/article/MjAxN2I0NWMwNjZkNWExY2JmMDk5MDI4NmU1YmYzNGU4NDViNw,[{'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': '0', 'debut': 3, 'fin': 11, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}, {'id': '2qkytkdySLu-hZko4yZhHQ', 'zone': '2', 'debut': 2819, 'fin': 2840, 'position': [-1.2730689, 49.59935], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Saint-Vaast-la-Hougue'}, {'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': '2', 'debut': 2844, 'fin': 2852, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}, {'id': 'Zq-A4qh_Qkqm5NMj9QTogg', 'zone': '2', 'debut': 2917, 'fin': 2923, 'forme': 'Manche'}, {'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': 'geographie', 'debut': 0, 'fin': 8, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}],http://troove.ouest-france.fr/lieu/2qkytkdySLu-hZko4yZhHQ?Saint-Vaast-la-Hougue http://troove.ouest-france.fr/lieu/Zq-A4qh_Qkqm5NMj9QTogg?Manche http://troove.ouest-france.fr/lieu/8jp6XCOFTtSR-nbfK7TcOg?Portbail
Anne Dupont,démissionne,23/11/2017 0:00,Portbail , Saint-Vaast-la-Hougue , Manche,<p>Portbail. Conseil municipal</p> <p>Démission du troisième adjoint</p>,http://troove.ouest-france.fr/article/MjAxN2I0NWMwNjZkNWExY2JmMDk5MDI4NmU1YmYzNGU4NDViNw,[{'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': '0', 'debut': 3, 'fin': 11, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}, {'id': '2qkytkdySLu-hZko4yZhHQ', 'zone': '2', 'debut': 2819, 'fin': 2840, 'position': [-1.2730689, 49.59935], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Saint-Vaast-la-Hougue'}, {'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': '2', 'debut': 2844, 'fin': 2852, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}, {'id': 'Zq-A4qh_Qkqm5NMj9QTogg', 'zone': '2', 'debut': 2917, 'fin': 2923, 'forme': 'Manche'}, {'id': '8jp6XCOFTtSR-nbfK7TcOg', 'zone': 'geographie', 'debut': 0, 'fin': 8, 'position': [-1.6954165, 49.35204], 'departement': 'Zq-A4qh_Qkqm5NMj9QTogg', 'forme': 'Portbail'}],http://troove.ouest-france.fr/lieu/2qkytkdySLu-hZko4yZhHQ?Saint-Vaast-la-Hougue http://troove.ouest-france.fr/lieu/Zq-A4qh_Qkqm5NMj9QTogg?Manche http://troove.ouest-france.fr/lieu/8jp6XCOFTtSR-nbfK7TcOg?Portbail
René Audrain,démissionne,14/07/2017 0:00,Sainte-Brigitte , Silfiac,<p>Conseil Municipal. René Audrain démissionne !</p>,http://troove.ouest-france.fr/article/MjAxN2EzMGIyZjZjOGQ0ZGIxMGJjYThiNDkxYjEwNTg1NWJjZA,[{'id': '7wTVEiWuQgyeQVVHl90hDQ', 'zone': '1', 'debut': 210, 'fin': 217, 'position': [-3.1725245, 48.144943], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Silfiac'}, {'id': '6HlHhtCrRTqiY89yDFw7Xg', 'zone': '1', 'debut': 323, 'fin': 338, 'position': [-3.110205, 48.17714], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Sainte-Brigitte'}, {'id': '6HlHhtCrRTqiY89yDFw7Xg', 'zone': 'geographie', 'debut': 0, 'fin': 15, 'position': [-3.110205, 48.17714], 'departement': 'C80NjYgyR16Js4ZKjtxm6g', 'forme': 'Sainte-Brigitte'}],http://troove.ouest-france.fr/lieu/7wTVEiWuQgyeQVVHl90hDQ?Silfiac http://troove.ouest-france.fr/lieu/6HlHhtCrRTqiY89yDFw7Xg?Sainte-Brigitte
Camille Besnier,démissionne,23/09/2017 0:00,,Conseil municipal : Pourquoi Camille Besnier démissionne,http://troove.ouest-france.fr/article/MjAxN2I2ODU2Mjg3NmQ1MmE4OWYwODRiODFhZDkzMmM0OTA2Yg,[],
Patrick Jacquet,démissionne,12/03/2018 0:00,,Patrick Jacquet démissionne du conseil municipal,http://troove.ouest-france.fr/article/MjAxOGEwZmUxMGM5ZWZkMjc1ZjExOTY5YzViZGIzYzc5NWNiYg,[],
Annie Messager,démissionné,01/07/2017 0:00,Louargat,<p>Annie Messager démissionne du conseil municipal</p>,http://troove.ouest-france.fr/article/MjAxN2EyNDJjOGE4YTc2MTRiNjY3ZjJlOWMwMDE1MDc4ZmQ5Yw,[{'id': 'Q1rP97JeQ0eWPDLguvLYNA', 'zone': 'geographie', 'debut': 0, 'fin': 8, 'position': [-3.3410134, 48.5612], 'departement': '2FUGnWnzQkmIxSdWQi4OrQ', 'forme': 'Louargat'}],http://troove.ouest-france.fr/lieu/Q1rP97JeQ0eWPDLguvLYNA?Louargat
Joseph Gaudin,démissionne,05/10/2017 0:00,Sarthe , Grez , Bouère , Grez-en-Bouère,<p>Conseil municipal. Joseph Gaudin démissionne</p>,http://troove.ouest-france.fr/article/MjAxN2I0ZmQzNmRhNTA1MDU2MDMxOGMxMTExZmNjZDUyNDFiNQ,[{'id': 'nfkfX9n9RC69MOpDG7PJAg', 'zone': '1', 'debut': 30, 'fin': 44, 'position': [-0.53781325, 47.87039], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Grez-en-Bouère'}, {'id': 'nfkfX9n9RC69MOpDG7PJAg', 'zone': '2', 'debut': 3, 'fin': 17, 'position': [-0.53781325, 47.87039], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Grez-en-Bouère'}, {'id': 'nfkfX9n9RC69MOpDG7PJAg', 'zone': '2', 'debut': 197, 'fin': 211, 'position': [-0.53781325, 47.87039], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Grez-en-Bouère'}, {'id': '-jovam9TQICS8TY1QQ4IoQ', 'zone': '2', 'debut': 362, 'fin': 368, 'position': [-0.48462248, 47.860634], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Bouère'}, {'id': 'nfkfX9n9RC69MOpDG7PJAg', 'zone': '2', 'debut': 413, 'fin': 427, 'position': [-0.53781325, 47.87039], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Grez-en-Bouère'}, {'id': 'cf6LW-3dT_eEd0981PVa5g', 'zone': '2', 'debut': 1452, 'fin': 1456, 'position': [1.9788209, 49.633724], 'departement': '7EXstZ6qQnSomJoOcn_25w', 'forme': 'Grez'}, {'id': 'nfkfX9n9RC69MOpDG7PJAg', 'zone': '4', 'debut': 53, 'fin': 67, 'position': [-0.53781325, 47.87039], 'departement': 'MqGoXqPkTO-GdVUhKy8CqQ', 'forme': 'Grez-en-Bouère'}, {'id': '5YOH6DTESwmmRJeq488_Ig', 'zone': 'geographie', 'debut': 0, 'fin': 6, 'forme': 'Sarthe'}],http://troove.ouest-france.fr/lieu/cf6LW-3dT_eEd0981PVa5g?Grez http://troove.ouest-france.fr/lieu/-jovam9TQICS8TY1QQ4IoQ?Bouère http://troove.ouest-france.fr/lieu/5YOH6DTESwmmRJeq488_Ig?Sarthe http://troove.ouest-france.fr/lieu/nfkfX9n9RC69MOpDG7PJAg?Grez-en-Bouère
Brigitte Le Roy,envoyé,15/02/2018 0:00,Casteljaloux , Lot-et-Garonne , René,<p>Démission au conseil municipal</p>,http://troove.ouest-france.fr/article/MjAxOGFiODc5NTkzYzg5YzE5MTA0Mzc2MTUzNmRkZDEwMmRhZQ,[{'id': 'JtMEyxu2Q9ShRw-MNS1RLQ', 'zone': '1', 'debut': 105, 'fin': 117, 'position': [0.084538616, 44.311474], 'forme': 'Casteljaloux'}, {'id': 'YWYUXLAcTZC1uTH1uUoGxQ', 'zone': '1', 'debut': 184, 'fin': 198, 'forme': 'Lot-et-Garonne'}, {'id': 'JtMEyxu2Q9ShRw-MNS1RLQ', 'zone': '1', 'debut': 337, 'fin': 349, 'position': [0.084538616, 44.311474], 'forme': 'Casteljaloux'}, {'id': 'YWYUXLAcTZC1uTH1uUoGxQ', 'zone': '1', 'debut': 696, 'fin': 710, 'forme': 'Lot-et-Garonne'}, {'id': 'JtMEyxu2Q9ShRw-MNS1RLQ', 'zone': '1', 'debut': 992, 'fin': 1004, 'position': [0.084538616, 44.311474], 'forme': 'Casteljaloux'}, {'id': 'S08z514zSOCO7ixO-c-ePw', 'zone': '1', 'debut': 1057, 'fin': 1061, 'position': [0.21720216, 48.276653], 'forme': 'René'}, {'id': 'YWYUXLAcTZC1uTH1uUoGxQ', 'zone': 'geographie', 'debut': 0, 'fin': 14, 'forme': 'Lot-et-Garonne'}],http://troove.ouest-france.fr/lieu/S08z514zSOCO7ixO-c-ePw?René http://troove.ouest-france.fr/lieu/JtMEyxu2Q9ShRw-MNS1RLQ?Casteljaloux http://troove.ouest-france.fr/lieu/YWYUXLAcTZC1uTH1uUoGxQ?Lot-et-Garonne
