UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
474,0,Phoenix,1537058,JsorhAPDyafD2JC-6fY-sA,Delta Air Lines,Hotels & Travel; Airlines; Transportation,"3400 E Sky Harbor Blvd
Terminal 3
Phoenix, AZ 85034",33.4483771,-112.0740373,True,11,2.5,AZ,0,2011-12-17,0,uZ9rHZQ41KX4PWaRTwjmRQ,3.66,523,453,Dave,992,974,4,"6 cities in 10 days.....no significant delays, great service and the food was even good. Get rid of the lowly 757's to Hawaii and give me the fancy LAX-JFK 777 for all 5 hour flights, plus redo the overhead compartments in the 767's and I'll give Delta 5 stars. 

Great job with the merger as the employees/customers seem much, much happier!",0,VqSCQCva71Q-ZVcMsYfQuw
475,5,Scottsdale,230512,vJ8h5KUTL5L7taf72zcOlA,Sheraton's Desert Oasis,Hotels & Travel; Event Planning & Services; Hotels,"17700 N Hayden Rd
Scottsdale, AZ 85255",33.646283,-111.908385,True,25,4,AZ,4,2008-06-14,0,WoSwxLzRtESWmdej4p3uIQ,3.43,12486,9895,Wanugee,1583,15384,4,"Sheraton Desert Oasis is a great value in the late spring/early summer to get away for a few days and relax. 

It is part of the Starwood Hotel Chain, but this is one of their first forays in to the recent boom in Hotel chains opening time share residences for sale under their brands. So this was meant to be property that was sold in timeshares, which some have. mostly for winter weeks for cold snow birds.

But in the low season, which is summer, you can get a room for around $100. And what do you get? You get a nicely appointed, decorated model home, about a 700 square foot 1 bedroom apartment. It is repleat with 2 gas fireplaces, full kitchen with all wares and utensils, living room, patio with table and chairs, his/her bathroom sinks, a marbled tiled shower, a king size bed and a heart shaped large jacuzzi bathtub in the bedroom. 

It has a full social and activities calender, so it is a good place to take the kids. There is a large clover shaped pool, with multiple water fountains, and a large rocklike island structure with caves where the jacuzzi is located. There are about 75 chaise lounges and several tables, so there is usually one available for you. There is also a poolside grill for food and beverages. 

You are not far from the restaurants and nightlife of North Scottsdale, near Kierland Commons Mall, Desert Ridge Mall, 101 Mall, and about 6 other strip and big box shopping centers. You can buy food and easily eat in to save some money. The famed Tournament Players Club (TPC) gold course is close by, as well as the more exclusive and expensive Fairmont Princess hotel. 

This is more of a vacation home than an exclusive resort with people waiting on you hand and foot. But it is well maintained, nicely appointed, and a relaxing getaway. Peak season (winter) rates are $325 and up, so if you come in early summer, you get a bargain and a tan by the pool.",8,2rlBbFPHyZjXSFSE8r551w
963,5,Scottsdale,230512,SYqTY48DJa1cYhglvmgvsQ,The Westin Kierland Resort & Spa,Hotels & Travel; Event Planning & Services; Hotels,"6902 East Greenway Parkway
Scottsdale, AZ 85254",33.6247596,-111.9329381,True,92,4,AZ,3,2008-01-03,4,_zZxNAdfBhduQTzH24ASzA,3.74,1053,759,Pierre Trudeau,356,1298,5,"The Westin Kierland is a beautiful resort located in PHOENIX, not Scottsdale. 

Some close friends of mine from Canada stayed in this PHOENIX resort for a few days, so I've hung out in its rooms and generally lounged about the property. The rooms were impressive, beautifully decorated, and spacious. We especially enjoyed taking the kids out to small fire pits maintained on the grounds, where guests to our fine city of PHOENIX can roast marshmallows. 

The Kierland has some tough competition, considering that the city of PHOENIX has every one of the most famous resorts in the Valley, from the Biltmore, to the Phoenician to the Royal Palms. It does pretty well in a tough line-up. No offense to Scottsdale, which also has some great resorts such as the Four Seasons. It's just that the most famous ones are in PHOENIX.

[For further information, please visit: http://phoenix.gov/BNDMAPS/index.html]",3,17PPxx8RxjOUD_nQZ1aHEw
2871,0,Phoenix,1537058,oQ5jjVF-LtRnGNC5SGZQ9g,American Airlines,Hotels & Travel; Airlines; Transportation,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034",33.43475,-112.00644,True,5,3,AZ,0,2011-06-02,1,ag_CtK-W76RfwV7bVVFo-A,4.16,502,412,Travis,592,813,3,"with airlines, always hit or miss. delta by far my worst experience on one flight, excellent on the next. american airlines....for our most recent vacation, just run of the mill. 

we were boarded quickly and efficiently. in the turks and caicos, our flight was cancelled due to a mechanical issue, but then we got to spend an extra night at the Beaches resort (free food and alcohol anyone). although it did take them 5 hours in the crappy providenciales airport to let us know the flight was cancelled, but 30 minutes later, i was happy as a pig in slop with 2 mixed drinks in my hand and 3rd on the way, with 4 or 5 more to go. 

airlines...unless you're in first class, you're nobody.",2,ST8Yzlk2MqKlcaLqL2djBg
3140,0,Phoenix,1537058,U4IipLI4RsuBLmxTFEV2MQ,Sky Harbor Airport Parking,Automotive; Hotels & Travel; Transportation; Airport Shuttles; Parking,"402 S 40th St
Phoenix, AZ 85034",33.443995,-111.9957122,True,31,3,AZ,5,2008-01-22,1,J_anYGV2NXZ3jsWkrSs2kA,4,8991,4943,Gabi,1253,10629,5,"I heart Sky Harbor Airport Parking...

Of course, it's always nice to find a ride to or from the airport but when you're all out of favors and you have only yourself to rely on, it comes down to driving yourself or getting a taxi.  Sky Harbor Parking to the rescue.  

For $8 a day or cheaper if you print the coupons from their website, the folks at Sky Harbor Parking make it easy to drop your car and get to your gate in no time... and I've used them a handful of times solo and with the BF so I know it's door-to-door consistent service.  

If you are interested in covered parking, call ahead, but otherwise, just drive over to Washington and 40th and they will take care of you from there.  Also, I recommend calling from the airport once you have your bags and they are always good about picking you up within minutes to take you back to your car.

I hope you'll find Sky Harbor Airport Parking as useful and convenient as I do... safe travels!",7,fczQCSmaWF78toLEmb0Zsw
3740,0,Phoenix,1537058,HLQUH1VAw4KbSV-IhxOPEw,"The Ritz-Carlton, Phoenix",Hotels & Travel; Event Planning & Services; Hotels,"2401 East Camelback Road
Phoenix, AZ 85016",33.508954,-112.0293073,True,49,4,AZ,5,2008-08-26,4,gzeVndmm4XH3pUxKlVr7mA,4,8991,4943,Gabi,1253,10629,4,"I've been fortunate enough to stay at several Ritz-Carlton hotels around the US... San Francisco, Amelia Island, Atlanta, Buckhead, and Lake Oconee are the ones that stand out.  I've also been to events at many of these locations and more and I've always been blown away by how beautiful these hotels are and how incredible the service has been.  I agree with some of the other reviewers that the Ritz sets a standard for other hotels, and they are known for luxury!

When I recently spent the night at the Ritz-Carlton Phoenix, I was not as blown away... the room was just ok - nothing so special, and I don't have any major complaints but I guess with my past experience and the reputation of the Ritz in general, I expected more.  (Don't hate me, Ritz-Carlton; I'm still a fan, but maybe not so much of the Phoenix location compared to the rest).

I will say that we did get a discounted room rate because I was being honored as one of AZ's Finest and that's where the black-tie gala took place... and it was quite the event as well - we had a blast!  

I took advantage of the fitness room for a quick workout after we checked in, and it was one of the nicer hotel fitness rooms I've seen in awhile.  Unfortunately, the pool was closed for renovation during our stay, so my BF could not swim on site, but luckily they shuttled him over to the Biltmore to swim instead.

So, overall, it was a pleasant experience - I just can't bring myself to give 5 stars like I would at any of the other Ritz-Carltons I've been to... but stay tuned for my review of the Ritz-Carlton, Bachelor Gulch (which is where I'll be heading in December for a wedding) - that one looks like it may be the best one I've seen yet!",5,fczQCSmaWF78toLEmb0Zsw
3785,0,Phoenix,1537058,N1xMSUfv1GmfHGa9a3VuJw,Pointe Hilton Squaw Peak Resort,Hotels & Travel; Event Planning & Services; Hotels,"7677 N 16th St
Phoenix, AZ 85020",33.5478355,-112.0474569,True,63,3.5,AZ,6,2011-06-04,3,BXafEB9o2gHxFZxxXDW3TQ,4.29,3901,2517,Lindsey,670,5065,4,"If you are looking for a serious pool experience, look no further than this hotel. You stay at this hotel for the pool and maybe the surrounding restaurants like Rico's, but especially for the pool. This pool includes: a lazy river, super slide, pool volleyball, miniature golf (yes, mini golf), a western village, at least three pools and plenty of hours of family-fun in the sun. Oh and adult kids are more than welcome too! 

This hotel provides the ultimate poolside experience, so if that's what you are looking for, this is your spot. You won't find ""so Scottsdale"" peeps with their stilettos and muscles popping out of their Ed Hardy. You will find down-to-earth people and families wanting to have a good time without worrying about what they look like in a bathing suit. 

The Squaw Peak property itself is pretty awesome too. I really think you could stay here and have a weekend's worth of activities without leaving the property. Squaw Peak Mtn is just a hop away and perfect for a morning hike, I've already professed my love to the pool above, they have plenty of restaurants on property including Rico's American Grill which is delicious and Hole-in-the-Wall which is fun old-western fun. They have a gift shop full of fun memorable items, they have a creamery, a general store with breakfast and snack essentials and let's not forget about the multiple tennis courts! As I said, this is a resort. This is an old school AZ resort. It's not frilly but it's fun and I think I'd take fun or frilly when it includes a pool like this! 

PS - summer rates are incredible and start at only $89 a night. It's worth it for a staycation or if you're in town for the weekend.",6,4ozupHULqGyO42s3zNUzOQ
4968,5,Scottsdale,230512,xtX2qS64zP2NRPV_7NNqHw,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,Hotels & Travel; Resorts; Event Planning & Services; Hotels,"7500 E Doubletree Ranch Rd
Scottsdale, AZ 85258",33.5670375,-111.9184649,True,135,4.5,AZ,5,2012-02-06,3,3H-jBJDs3BP2sKHk80vp_g,4.29,3901,2517,Lindsey,670,5065,5,"This review is for locals...the Hyatt isn't just a beautiful spot to stay it, it's also a perfect spot to just sit and enjoy the day! I've done this several times, many times for dinner and drinks afterward on the patio. Most recently, I decided to set up shop and do some work from one of the comfy chairs on the outdoor patio which allowed me to enjoy the gorgeous Arizona weather and still get some work done. They do an excellent job of making the hotel amenities comfortable and welcoming. 

For hotel guests, if you are planning to stay here, be sure to look into staying in one of the rooms that sit on the man made lake. They have great patios right on the water so when you wake up, you could have breakfast on the lake! It doesn't get much better than that.",6,4ozupHULqGyO42s3zNUzOQ
6375,0,Phoenix,1537058,6Ckmrpp6OW1pJ-3Pjg7VaQ,Best Western Plus InnSuites Phoenix Biltmore/Scottsdale,Hotels & Travel; Event Planning & Services; Hotels,"1615 E Northern Ave
Phoenix, AZ 85020",33.5545977,-112.0478675,True,6,4,AZ,3,2007-03-15,1,VTHjIW32FVT86A9DDwj0bg,4.12,304,165,Natalie,264,540,4,"As I revealed in a previous review, my family loves InnSuites. This location is nestled in the Squaw Peak Mountain Preserve, close to the prestigious Biltmore area, and offers easy access to downtown Phoenix, Scottsdale and the Camelback corporate corridor. 

InnSuites offers comfotable, clean rooms for a very rasonable price. And as with all of the InnSuites locations, the Northern location includes amenities such as free social hour and free hot breakfast with eggs, potatoes, waffles, toast, cereal, yogurt, fruit, coffee, milk & juices. There isn't really much within walking distance at this location, so either plan to hang around the pool a lot or you'll need to have a car.",3,lC4X2crUuxT9Ac9BlOX4Uw
9660,0,Phoenix,1537058,hW0Ne_HTHEAgGF1rAdmR-g,Phoenix Sky Harbor International Airport,Hotels & Travel; Airports,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034",33.43475,-112.00644,True,862,3,AZ,1,2007-11-17,0,fCMc-zMHbEgruWjKyU0RKA,3.43,12486,9895,Wanugee,1583,15384,4,"As I sit a the gate 3, Terminal 2, UA1507 PHX-SFO in the plane with a 90 minute ""SFO Flow Control"" and ""Mechanical problem of rivets missing on the engine cone?!""  delay, I write this review. 

Sky Harbor used to be my home base for a couple of years. It is a remarkably good airport given the tremendous growth in the Valley of the Sun. 

There are 3 terminals: 
Terminal 2, the smallest and oldest, (United, Continental, others)
Terminal 3, next largest and oldest (Delta, Northwest and many others, including international flights)
Terminal 4, newest and bigger than the others combined, dominated by SouthWest and US AIrways (formerly America West)

For locals, there are the West and East long term parking lots. You can park in the West and walk to Terminal 2; East is much larger with an annex and hi-rise, and closer to terminal 4, but you need to take the shuttles. To help you remember which is east and west, PHX names the shuttles Gecko, RoadRunner, and one other I can't remember! 

For visitors, to get a round the sprawling valley, you need to rent a car. The recently added offsite Rental car Center is huge and well organized into 4 floors with different brands on each floor, and a lot of shuttle buses that are dedicated to each terminal. It is about 1 mile from the airport, but allow 10 minutes for shuttles and loading when you drop off your car. 

They have recently upgraded Terminal 2, expanding the security area and remodeling the restaurant. Terminal 2 has little in the way of food and shops. Terminal 4, organized into 7 separate buildings of gates connected with long hallways and moving sidewalks, has more food and shopping choices, but not on the order of PDX, or DEN. Because of the sheer volume of flights, Term 4 can have a long security check-in line, so plan accordingly. 

If you have questions, there are roaming information assistant volunteers, wearing blue sports coats and hats. Signage is decent and most monitors have been upgraded to flat screens. 

Sky Harbor is located close to Tempe (ASU) and no too far from downtown PHX. The edge of Mesa and Scottsdale are about 5 miles away, but it is 20 or more miles from other parts of North Scottsdale, Deer Valley and North Phoenix. Overall, it is fairly well organized and a clean airport with a lot of flight options, especially on SouthWest or US Airways, who use it as a major hub. For other airlines with a smaller foothold, you have to often connect through LAX, DEN, SLC, ORD or SFO depending on your final destination.",6,2rlBbFPHyZjXSFSE8r551w
