UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
13,6,Tempe,172816,WGNIYMeXPyoWav1APUq7jA,The Lady Luck Tattoo Gallery,Tattoo; Beauty & Spas,"961 E Guadalupe Rd
Tempe, AZ 85283",33.36376,-111.9272987,True,25,4.5,AZ,1,2011-12-23,0,FvEEw1_OsrYdvwLV5Hrliw,3.4,775,702,Lucky,458,1113,4,"Good tattoo shop. Clean space, multiple artists to choose from and books of their work are available for you to look though and decide who's style most mirrors what you're looking for. I chose Jet to do a cover-up for me and he worked with me on the design and our ideas and communication flowed very well. He's a very personable guy, is friendly and keeps the conversation going while he's working on you, and he doesn't dick around (read: He starts to work and continues until the job is done). He's very professional and informative. Good customer service combines with talent at the craft.",2,Xm8HXE1JHqscXe5BKf0GFQ
237,5,Scottsdale,230512,MuIXnv7Oq7X3-4aEsp9dDA,Citizen Public House,Gastropubs; American (New); Restaurants,"7111 E 5th Ave
Ste E
Scottsdale, AZ 85251",33.498028,-111.927951,True,347,4.5,AZ,0,2013-01-02,0,CD3QORZYdE0UKBrdyylYsQ,4.55,6,3,Sean,53,43,5,Our server Gary was awesome. Food was amazing...an experience.,0,qK_o6Chm8VakPzeMCurtWA
819,5,Scottsdale,230512,Exx5ffvnmk4MrTyCkPRuug,Los Olivos,Mexican; Restaurants,"7328 E 2nd St
Scottsdale, AZ 85251",33.491546,-111.923427,True,146,3,AZ,0,2009-02-16,0,3sjhgrdp_kF-D-eAyZiQaA,3.89,164,111,Ada,197,331,4,"I was surprised to see that this place has such low ratings on yelp- it is one of my favorite Mexican places in the valley.  Favorite dishes include: mini beef tacos, Tapopo Salad (iceberg lettuce, cheddar cheese, chicken, peas, corn, beans, tomatoes and large amount of quacamole under it all), fresh salsa, and Tacos Al Carbon. All freshly prepared and wonderful tasting.

If you have kids, ask to sit in the blue room by the fish tank - the decor is fun and mysterious and will keep young children distracted thru the entire meal.",0,0H9ne5frm1GjO6TjUwbxlw
6719,5,Scottsdale,230512,L-uPZxooP_ziXCtRrWi8Pw,CafÃ© Monarch,American (New); Restaurants,"6934 E 1st Ave
Scottsdale, AZ 85251",33.494205,-111.931447,True,172,4.5,AZ,4,2009-12-06,0,dy_BNzGIzkzEgWlpw8izlQ,3.89,164,111,Ada,197,331,5,"Cafe Monarch is more than a restaurant - it's an experience. If I had to put an analogy to this one - I would say that most restaurants are like watching a concert on tv and this place is like being in the front row at a great show. I was immersed in Christopher's beautiful world and entertained the entire time.

As Camille H mentioned, this place may not be for everyone. There is no menu provided to pick things from. This is not a place for a quick snack, although, I bet if you asked, Christopher would provide it. If you are a picky eater or have food allergies, call ahead of time. But if you go in with the mindset that you are going to be surprised with a meal full of the freshest ingredients, wonderful combinations of flavors and fantastic stories to every dish, you will not be disappointed.

I am not sure I would bring my five year old to this place. She would enjoy it, but I think my husband and I will get most out of our dining experience with a babysitter. Since Christopher is a one man show - chef, server, host, story teller, etc. etc, each course takes awhile, and my child's attention span most likely would not last through the entire meal.

For a description of the amazing food we ate, please see Camile H's review. She described everything perfectly.

This is my new favorite place in the valley. I can't wait to go back! Highly highly highly recommend this experience!!!",1,0H9ne5frm1GjO6TjUwbxlw
6996,0,Phoenix,1537058,jPhmaY35qGP2qNc68viXPg,"JW Marriott Desert Ridge Resort & Spa, Phoenix",Day Spas; Hotels & Travel; Hotels; Event Planning & Services; Beauty & Spas,"5350 E Marriott Dr
Phoenix, AZ 85054",33.683479,-111.966112,True,99,4,AZ,0,2012-08-18,0,fHLAVvhnFKk1c9HHaA1xPA,3.6,5,0,Tash,21,8,5,"One word to describe this hotel: quality. The pools were all warm and unique. The hotel has two hot tubs, one that changes colors at night and is next to a man made stream, the other is on its own ""island"". There are two pools, a lazy river, and a small pool. The rooms were comfortable and the whole facility was clean. One thing that must be commented on is the staff was not only efficient but they were very friendly and nice. All of the food and room service I ordered was filled with superb flavor and had good presentation. The hotel also has a botanical garden, herb garden, multiple lawns, and it contains different food services. I highly recommend the ranchero pulled pork tacos and the sushi. The Marriott burger, creme  brÃ»lÃ©e, drinks, and fromage board was very good.",0,oY0QNmFG77hNaNwpPTLShA
12571,6,Tempe,172816,sPQvlHSBUn5ksKXmnKcepg,Taco Bell,Fast Food; Tex-Mex; Restaurants,"912 E Apache Boulevard
Tempe, AZ 85281",33.4149636,-111.925905,True,6,2.5,AZ,1,2009-11-03,2,Svkaki5P9wTbYp8j3TiOgw,3.4,775,702,Lucky,458,1113,2,Check your order before you leave the drive-thru or risk discovering only 75% of your order filled by the time you get home.,1,Xm8HXE1JHqscXe5BKf0GFQ
14677,6,Tempe,172816,8Hn5X1AqgmSLHRG2KgBJBg,Oregano's Pizza Bistro,Italian; Pizza; Restaurants,"523 W University Dr
Tempe, AZ 85281",33.421617342644,-111.9466751753,True,202,4,AZ,1,2011-03-24,0,pnkjLe_-xc0cPgwqfqGNsA,3.4,775,702,Lucky,458,1113,3,"Just ate here again last night and had the shrimp scampi pasta, which was impressive, but I did have to add salt. Something is just lacking here. Ambience and portions and quality of the food ingredients are all great, but the food just is missing some kind of splash of flavor that would make it different and/or better than I could make myself at home. The shrimp, however, were HUGE and the addition of cilantro in the dish added a nice twist.",1,Xm8HXE1JHqscXe5BKf0GFQ
15002,2,Chandler,254276,0ONypOKIhttBz9IJzBE8jg,Fleming's Prime Steakhouse & Wine Bar,Wine Bars; Bars; Steakhouses; Nightlife; Restaurants,"905 N 54th St
Chandler, AZ 85226",33.3184674,-111.9682552,True,67,4,AZ,1,2009-11-05,1,OumHLToDKMaIenBgfkKlDw,3.89,164,111,Ada,197,331,4,"This is a happy hour review only. I have never been for dinner. I love this place. The bar is kind of small, so you have to get there early if you want a seat for happy hour...or go on an odd week night. Camille H. already described the happy hour menu very well. In addition to the burger, the crab cakes are amazing - 100% crab meat and no filler/breadcrumbs. The cocktails are yummy - I had the white cosmo last night - delish! 

I would give the place 5 stars, but am always unhappy with the service. They are all very snooty and pretentious. If they were just nice and real, I would love this place even more.",1,0H9ne5frm1GjO6TjUwbxlw
15212,6,Tempe,172816,EC9WB-iVjd28B6R6KIZ8TA,Teharu Sushi,Sushi Bars; Restaurants,"9845 S Priest Dr
Tempe, AZ 85284",33.3216034,-111.9626175,True,196,3.5,AZ,0,2010-05-24,0,1DZGbXtS2dSEevVxbEpFDQ,4.12,4,3,Tara,16,13,4,"Good sushi? Yes. Best I ever had? No, but the price makes up for it. Plus I love the conveyor belt. Not that original but I have only found one other place near me with it. Service is so-so but you basically serve yourself so its irrelevant. No plates over $2 and they have a little chart that lets you know what color is what price. I got a rainbow roll, gyoza (potstickers), shrimp tempura roll, edamame, and a cali roll for $9 inc tax. And the time I went with my bf I can't remember everything we got but we were both stuffed (and he eats a lot!) for under $20. Great place to go for quick, super cheap sushi. They also have a menu if you want to order anything not on the belt or if you don't want to sit at it. Definitely my new favorite!",0,9cLBI7hhgScn3lHjY4nAaQ
16812,5,Scottsdale,230512,PWG28q4JFOc8FiRBjnfCkA,Brat Haus,German; Pubs; Bars; Nightlife; Restaurants,"3622 N Scottsdale Rd
Scottsdale, AZ 85251",33.4900575,-111.9262552,True,143,4,AZ,4,2012-07-09,1,bLiVGlQyUj_kglXpjGzv0w,4,5,1,Valerie,3,8,2,"I love the concept, I love the decor, I love the idea, hopefully the food can catch up. 

We knew going opening week would be under par as the staff tries to gain their groove, so we went in with I'd say low expectations. We weren't disappointed. Our server knew nothing about the products on the menu or the beverages offered. 

My friends each got craft brews and were offered non-chilled glasses, they opted to just drink out of the bottle. I tried the Strawberry fields cocktail. It tasted purely of artificial syrup - nothing fresh about it, and I couldn't tell if the Vodka made it in the glass or not.

We decided to start with the Pretzel and then each opted for different Brats so we could share and get a variety. The pretzel didn't come out till the brats did - so much for ordering an app. When it did finally arrive it was a very dark brown and somewhat mangled look,  we could have gotten past that if it at least tasted good, but not only was this pretzel an eye sore, it was a mouth sore. It was everything you don't want a pretzel to be - tough, chewy and burnt. Finally, the Brats... the Brats themselves weren't bad, but the Brat:Bread Ratio was way off. We received these huge Brat buns that were easily double the size of the actual brat. I wouldn't call myself a Brat aficionado I just can't imagine how you screw up such a simple and easy item - especially if you are the ""Brat Haus"". The one item of the whole evening actually worth noting was the Apricot Chutney, it was flavorful and the only reason I was able to finish my bready meal. 

I would be up to giving them another chance, it seems everyone else had a much better experience. I hate to leave bad reviews, but hey, you can't win them all!",5,X567tXHnrKhOLOyjsqf9pw
