UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
465,0,Phoenix,1537058,k8Y7aXXA8BFcn5CillHFYw,24 Hour Fitness,Active Life; Gyms; Trainers; Fitness & Instruction,"3233 E Camelback Rd
Phoenix, AZ 85018",33.508743,-112.011863,True,34,2.5,AZ,0,2010-06-16,0,raaH2O1gL1H712CjHv_lwQ,3.17,23,27,Kristen,86,108,3,"Not the newest or the nicest but, everything you need and usually no wait for machines. The staff is super nice and there are magazines to read while your there. If they could just turn up the AC a little bit and put ESPN on more than two of the TVs.",1,AVCBC2G5RjJM8tu_PebFPw
883,0,Phoenix,1537058,co8rv2zfOhMXc_TlEI9VrA,Yogurtology,Food; Ice Cream & Frozen Yogurt,"2045 E Camelback Rd
Ste A16A
Phoenix, AZ 85016",33.5092556,-112.0378823,True,76,4.5,AZ,0,2010-05-14,0,dCMbp2vkcHfS05tKrNOSMw,3.17,23,27,Kristen,86,108,5,"I almost wish I hadn't discovered this place because it's so good! Ton's of flavors and every kind of topping you could want (even cake frosting) 
So much better than MoJo and to top it off the staff couldn't have been nicer.",1,AVCBC2G5RjJM8tu_PebFPw
1613,5,Scottsdale,230512,-xFO1E3OiDMmdqdjwUM_DA,Losbetos Mexican Food,Mexican; Restaurants,"3001 N Hayden Rd
Scottsdale, AZ 85251",33.4820996,-111.9087669,True,37,3.5,AZ,0,2010-05-06,0,82cDFmXQkZH4Hti8Rp0hSA,3.17,23,27,Kristen,86,108,4,"It was almost impossible for me not to stop here on the cab ride back from old town for carne asada fries.mmmm sooo good! I really only went there between the hours of 2-4am but, los betos never let me down.",0,AVCBC2G5RjJM8tu_PebFPw
15945,0,Phoenix,1537058,yc5AH9H71xJidA_J2mChLA,Rosie McCaffrey's,Pubs; Bars; Nightlife; Irish; Restaurants,"906 E Camelback Rd
Phoenix, AZ 85014",33.509517,-112.061566,True,151,4,AZ,0,2010-05-05,0,Xq79RafeIMfkLCfrZM-tew,3.17,23,27,Kristen,86,108,4,"Such a great hole in the wall, I always have good time at Rosie's. Staff is always great, multiple patios, and live music on weekends.",0,AVCBC2G5RjJM8tu_PebFPw
16348,0,Phoenix,1537058,nBfusVbqwul0BU0Rcrlelw,RA Sushi Bar Restaurant,Sushi Bars; Japanese; Restaurants,"4921 E Ray Rd
Phoenix, AZ 85044",33.3197625,-111.9780071,True,94,3,AZ,0,2009-12-23,1,6c4QF7GLE_Ea7D2WdQHjFQ,3.17,23,27,Kristen,86,108,4,For sushi in the desert RA is pretty good. I recommend the Vegas roll almost everything I have had has been pretty good. This location is not as packed as the one on Scottsdale rd or Mill if you're in the area.,1,AVCBC2G5RjJM8tu_PebFPw
20389,2,Chandler,254276,7-4FxYXhNUS2lhpUb_q5-w,Teakwoods Tavern & Grill,Bars; Nightlife; Restaurants,"5965 W Ray Rd
Ste 20
Chandler, AZ 85226",33.3197658,-111.944694,True,69,3.5,AZ,1,2009-12-23,1,rydRihcraJBRwdtG00NRpQ,3.17,23,27,Kristen,86,108,3,"Alright place to go for a game. Good food, good service, pretty relaxed atmosphere. Perfect for a Monday night game or a quick bite.",2,AVCBC2G5RjJM8tu_PebFPw
25987,0,Phoenix,1537058,QYSBBLmZi-Cuw0sWzxgVVg,Total Wine,"Food; Beer, Wine & Spirits","1670 E Camelback Rd
Phoenix, AZ 85016",33.5093845,-112.0456423,True,81,4.5,AZ,0,2010-08-18,0,S92DHZAa5g2rG90B4I7AIg,3.17,23,27,Kristen,86,108,5,"I love total wine! I could  spend hours in here (and okay maybe I have) They offer an amazing selection and great prices. Good to buy other alcohol too, usually around $4 less a bottle than what you pay at the grocery store.  They also offer wine tasting daily which ends up with me buying more wine than I should. The people who work there seem to love there jobs, and are more than happy to help you find a great bottle.",0,AVCBC2G5RjJM8tu_PebFPw
39751,0,Phoenix,1537058,21yMkDG8nN2nANLVjIO4-w,Four Points by Sheraton Phoenix North,Hotels & Travel; Event Planning & Services; Hotels,"10220 North Metro Parkway East
Phoenix, AZ 85051",33.5793892,-112.1195513,True,14,2.5,AZ,0,2010-11-24,1,FtTBX0w0Sp9c-yeYN0MQew,3.17,23,27,Kristen,86,108,2,"Sheraton has done wonders with photoshop, don't let the pictures fool you, on-line this place looked great. Upon arrival in the dirty parking lot, ripped aunnings, sounds of high school hotel parties, and the smells mold and cheap weed...not what I had in mind for my stay at the Sheraton. Other parts of Phoenix you could probably find a nicer motel 6. On the upside the beds were comfortable and the black out curtains were nice. I would avoid if possible & if you're visiting Phoenix probably find a better part of town.",1,AVCBC2G5RjJM8tu_PebFPw
51928,0,Phoenix,1537058,qjmCVYkwP-HDa35jwYucbQ,True Food Kitchen,American (New); Restaurants,"2502 E Camelback Rd
Phoenix, AZ 85016",33.5102068,-112.0272041,True,434,4,AZ,0,2010-04-17,0,4HRpJtf1ZDM50EWnLqgYBQ,3.17,23,27,Kristen,86,108,2,"I came for dinner and the menu had a wide array of different foods on the menu. I went with the steak taco's and I have to say this was the first time I've put salt on my food at a restaurant. The food was just bland and didn't seem to have much flavor. 
I like having healthy food but, there are plenty of ways to keep things fresh and still have flavor. There wasn't anything I had worth coming back for but, there's lots on the menu. The hummus pretty good and I tried I bite of the flour less cake and it was better than I expected.",1,AVCBC2G5RjJM8tu_PebFPw
57109,0,Phoenix,1537058,CqhsIZ7TzCfJTrZqg5-gqQ,The Armadillo Grill,Nightlife; Bars; American (Traditional); Sports Bars; Restaurants,"1904 E Camelback Rd
Phoenix, AZ 85016",33.5093736,-112.0409502,True,102,4,AZ,0,2010-02-24,0,Se9tcAzTvwWS9w8nUxYnMw,3.17,23,27,Kristen,86,108,5,"I love this bar! The bartenders are awesome a lot of regulars here and I can see why it's easy to become one everyone is really nice. I went there with my roommate and about three times and they welcome us like we've been going for years.As far as the food I've really only had the fried pickles which are amazing! They have great drink specials and reverse happy hour. I haven't made it to happy hour yet because I'm scared I will stay there until close.The inside is nothing fancy but, enough bar games to keep you entertained.",1,AVCBC2G5RjJM8tu_PebFPw
