UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
819,5,Scottsdale,230512,Exx5ffvnmk4MrTyCkPRuug,Los Olivos,Mexican; Restaurants,"7328 E 2nd St
Scottsdale, AZ 85251",33.491546,-111.923427,True,146,3,AZ,0,2009-02-16,0,3sjhgrdp_kF-D-eAyZiQaA,3.89,164,111,Ada,197,331,4,"I was surprised to see that this place has such low ratings on yelp- it is one of my favorite Mexican places in the valley.  Favorite dishes include: mini beef tacos, Tapopo Salad (iceberg lettuce, cheddar cheese, chicken, peas, corn, beans, tomatoes and large amount of quacamole under it all), fresh salsa, and Tacos Al Carbon. All freshly prepared and wonderful tasting.

If you have kids, ask to sit in the blue room by the fish tank - the decor is fun and mysterious and will keep young children distracted thru the entire meal.",0,0H9ne5frm1GjO6TjUwbxlw
6719,5,Scottsdale,230512,L-uPZxooP_ziXCtRrWi8Pw,Caf̩ Monarch,American (New); Restaurants,"6934 E 1st Ave
Scottsdale, AZ 85251",33.494205,-111.931447,True,172,4.5,AZ,4,2009-12-06,0,dy_BNzGIzkzEgWlpw8izlQ,3.89,164,111,Ada,197,331,5,"Cafe Monarch is more than a restaurant - it's an experience. If I had to put an analogy to this one - I would say that most restaurants are like watching a concert on tv and this place is like being in the front row at a great show. I was immersed in Christopher's beautiful world and entertained the entire time.

As Camille H mentioned, this place may not be for everyone. There is no menu provided to pick things from. This is not a place for a quick snack, although, I bet if you asked, Christopher would provide it. If you are a picky eater or have food allergies, call ahead of time. But if you go in with the mindset that you are going to be surprised with a meal full of the freshest ingredients, wonderful combinations of flavors and fantastic stories to every dish, you will not be disappointed.

I am not sure I would bring my five year old to this place. She would enjoy it, but I think my husband and I will get most out of our dining experience with a babysitter. Since Christopher is a one man show - chef, server, host, story teller, etc. etc, each course takes awhile, and my child's attention span most likely would not last through the entire meal.

For a description of the amazing food we ate, please see Camile H's review. She described everything perfectly.

This is my new favorite place in the valley. I can't wait to go back! Highly highly highly recommend this experience!!!",1,0H9ne5frm1GjO6TjUwbxlw
15002,2,Chandler,254276,0ONypOKIhttBz9IJzBE8jg,Fleming's Prime Steakhouse & Wine Bar,Wine Bars; Bars; Steakhouses; Nightlife; Restaurants,"905 N 54th St
Chandler, AZ 85226",33.3184674,-111.9682552,True,67,4,AZ,1,2009-11-05,1,OumHLToDKMaIenBgfkKlDw,3.89,164,111,Ada,197,331,4,"This is a happy hour review only. I have never been for dinner. I love this place. The bar is kind of small, so you have to get there early if you want a seat for happy hour...or go on an odd week night. Camille H. already described the happy hour menu very well. In addition to the burger, the crab cakes are amazing - 100% crab meat and no filler/breadcrumbs. The cocktails are yummy - I had the white cosmo last night - delish! 

I would give the place 5 stars, but am always unhappy with the service. They are all very snooty and pretentious. If they were just nice and real, I would love this place even more.",1,0H9ne5frm1GjO6TjUwbxlw
22290,2,Chandler,254276,Gq092IH6eZqhAXwtXcwc6A,SanTan Brewing Company,Food; Burgers; American (New); Breweries; Restaurants,"8 S San Marcos Plz
Chandler, AZ 85225",33.303233,-111.842532,True,283,4,AZ,0,2009-06-07,0,B3O0Ft2fogUaDeruDMc2kw,3.89,164,111,Ada,197,331,4,"After the Jazz Fest last year, we popped into this place for a quick bite. It was packed! Even with every table taken and big wait, we were seated pretty quickly, and the service was amazingly attentive, considering how packed it was. We had sausages, fish and chips and tasty beer. Everything came out  hot and delish. My toddler enjoyed chicken and french fries from the kids menu.  I love going to pubs where everyone seems to be having a great time - this was my kind of place. We will definitely go back. I didn't give it five stars because the food didn't wow me - it was just yummy.",1,0H9ne5frm1GjO6TjUwbxlw
22424,6,Tempe,172816,Gwwdr4Z1edd2yHxqDdQEqA,Pump It Up,Event Planning & Services; Party & Event Planning,"1325 W Auto Dr
Ste 101
Tempe, AZ 85284",33.342364,-111.958036,True,8,4.5,AZ,0,2010-02-28,1,dkkbxuUbBYCil8moEFG5tA,3.89,164,111,Ada,197,331,4,"Even though I'm a fan, I'm not allowed back without a helmet. 

My daughter has attended many wonderful birthday parties here. This is a great birthday facility for toddlers - tweens. 

Before you go into the rooms, the kids and adults watch a video about safety on the slides and bounce rooms. One of the rules they emphasize is *getting out of the way* when you get to the bottom of the slide so you don't get hit by the next kid/adult on the slide.

Well, my beautiful girl did not listen carefully, got all spaced out at the bottom of a slide, and slammed by some kid at the party. Next thing I know, she is screaming in my arms  that her arm hurts. The party starts to move into the next bounce room, and I'm trying to figure out how I'm going to calm down my screamer and get in the other room so the next party can start in the first bounce room. Every time, I moved, the screaming increased a few decibels. The people that worked there came to assess the situation and help, but I told them proudly that I had it all under control. Then I fainted. 

I woke up in some big man's arms all confused. When you wake up dazed and confused in a stranger's arms, the first thing you do is make sure you have clothes on. Check! Next thing was panic - where is my little girl? When I fainted, the party moved quickly to the other room with all the kids including my screamer, and three parents and two staff members stayed behind to revive me. My husband picked us up and I have been too embarrassed to go back since.

Even though I have to wear a helmet to parties here, I still think it's a great place and highly recommend it! Just make sure your kid is well rested before they get there, and maybe run through some fire drills on quickly getting out of the way.",0,0H9ne5frm1GjO6TjUwbxlw
27803,5,Scottsdale,230512,no_FXjscklz1SEzM_XnVgw,Petite Maison,French; Restaurants,"7216 E Shoeman Ln
Scottsdale, AZ 85251",33.501161,-111.925513,True,222,4,AZ,1,2010-07-17,1,wFS-u01hsvljIlT7HbEDRQ,3.89,164,111,Ada,197,331,5,"I have never had such a perfectly cooked steak in my entire life! This is my new favorite place in the valley!!

We started w/ the sangria-style cocktail - a yummy blend of red wine, brandy and triple sec w/ an orange rind garnish. They were potent and delish! 

For starters, fois gras and mussels. The Fois Gras melted in your mouth like butter and was served w/ grilled peaches and a small piece of grilled bread - it was SO SO GOOD. One of the most wonderful things I have ever  put in my mouth! The mussels were amazing as well, served in a simple thick pernod lemon butter with leeks. They brought us bread so we could enjoy every bit of the broth.

For entrees, we had steak frite and duck confit. The duck was cooked to perfection, falling off the bone with crispy skin and a perfect amount of sauce and vegie medley The steak frite was to-die-for - medium rare was perfectly red - every bite melted in my mouth - it was truly heavenly.

For desert, we had the chocolate creme brulee - it was perfectly caramelized over the entire surface! As a creme brulee connoisseur, I can tell you that nothing is more disappointing than a half-assed caramelized top - this one set a new standard for how creme brulee should be done!

You definitely want to make a reservation for this place - it's a tiny little cozy room with a bar and lots of tiny tables. It was cramped, but I never felt like I didn't have enough space. This is not a superficial spot - people were dressed casually and everyone in the place was having a great time. This is not a place to eat with children, but fantastic for a date night. 

HIGHLY recommend this place!!! Great food, great service, great atmosphere!!!! TEN STARS!!",3,0H9ne5frm1GjO6TjUwbxlw
35320,2,Chandler,254276,-vHWAsiX0iHWJw-pkqv32Q,Kona Grill,American (New); Sushi Bars; Restaurants,"3111 W Chandler Blvd
Chandler Fashion Center
Chandler, AZ 85226",33.3022462,-111.897967,True,90,3.5,AZ,0,2009-06-07,0,qq-4zJNEvFrZe0XPjHeJ9Q,3.89,164,111,Ada,197,331,3,"I would give the food four stars if it was not so over priced. The vegas roll and the poke are yummy. The atmosphere is really nice - big clean fish tanks everywhere, roomy tables, and pleasant wait staff. If you are a sushi connoisseur, you will probably be slightly disappointed.  But if you just go in knowing you are going to pay too much for small portions of yummy food at a mall, you will be happy.",0,0H9ne5frm1GjO6TjUwbxlw
44424,0,Phoenix,1537058,ldyS8f473wv4o9-AHO0ZIQ,RJ Dog Park at Pecos Park,Active Life; Dog Parks; Parks,"17010 48th St
Phoenix, AZ 85048",33.2918306030685,-111.980338096619,True,11,3.5,AZ,2,2009-08-18,3,WgZ2SAlnXxKr1v16dDssaQ,3.89,164,111,Ada,197,331,4,"There are  two  large doggy play yards - one  for dogs under 20 pounds and one for dogs over 20 pounds. Sometimes, people don't know what a little tiny purse size dog weighs, and  they bring them in  the wrong yard. It is always fun to watch a lab try to wrestle with a chihuahua. 

Some people also feel it is necessary to keep their dog on a leash even though there are large gates protecting the dogs from escaping. My friends, if your dog does not behave off the leash, it does not belong in a dog park with other dogs. :)

These two issues - dog size and leash/no-leash - exist at dog parks near and far - I just like  to help gently guide those new to the scene.

Also, never wear clothes you love to a dog park.  You may be confused for a lamp post or fire hydrant, and become a conduit for pee-mail.  Watching spaced out dog owners get sniffed and peed on is funny no matter how many times you see it happen.

Bring water for yourself - there is one covered picnic table in each fenced off area. And bring a leash - you have to have your dog on t he leash until you get inside the gated area.  Great park. Big enough for the big dogs to run a lot and get tired.  Because of the separate  yards, little dogs can have fun too.",4,0H9ne5frm1GjO6TjUwbxlw
45715,0,Phoenix,1537058,N7oUi6aM01UlvrsIcTSqmg,Rubio's Fresh Mexican Grill,Mexican; Restaurants,"4905 East Ray Road
Phoenix, AZ 85044",33.3193788,-111.9778751,True,13,4,AZ,0,2010-06-27,0,8pf5jwf9WWB8rqx4s-qb1g,3.89,164,111,Ada,197,331,2,"I like their salsa, chips and prices. They put some sort of strange chemistry-made cheese substance in their burritos that is kind of gross - it tastes like a combo of cream cheese, american cheese and sour cream - everything tastes premade and slapped together - nothing tastes fresh. I have only been here twice, and prefer Chipotle's over this any day of the week!",1,0H9ne5frm1GjO6TjUwbxlw
45845,2,Chandler,254276,y0weNFCIJF9bTgBbFST86A,Brunchies,Breakfast & Brunch; Restaurants,"17 E Boston St
Chandler, AZ 85225",33.3022008,-111.8410615,True,68,3,AZ,1,2009-06-22,0,EyTr3pY6wDWvAs6YyHOAfw,3.89,164,111,Ada,197,331,3,"Before we found better breakfast places (like TC Eggington), we used to frequent this place. The place has a funny smell to it, and they are always blasting country music, which is the last thing I want to hear while I am waking up. Actually, I just hate country music all the time.

If you can get past the strange smell of the place (think old antiques + dust + hmmmm), the food is pretty tasty. I like the omlette and the nice tex-mex breakfast offerings. The coffee is weak, so don't go thinking Starbucks - it's more like Denny's lite. I think the hot chocolate gave me more of a kick than the coffee. A seat close to the door is good - then you can enjoy the food without too much of the smell of the room.",1,0H9ne5frm1GjO6TjUwbxlw
