UID,city_id,city,city_population,business_id,business_name,business_categories,business_full_address,business_latitude,business_longitude,business_open,business_review_count,business_stars,business_state,cool,date,funny,review_id,reviewer_average_stars,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_useful,stars,text,useful,user_id
51355,0,Phoenix,1537058,MSnAOSajkFXLojJWgRjMCg,Sunset Bowl,Active Life; Nightlife; Bowling,"8925 N 12th St
Phoenix, AZ 85020",33.5665645,-112.0567188,False,15,4,AZ,4,2008-01-14,4,0Tbv1BSsd8VY3v-0_l26tw,3.37,499,516,Jared,274,760,4,"Had to throw in my 2 cents.  If you read about the event, then you may know I was once an avid bowler in a former life.  Shoes, I owned a pair.  Ball, custom made.  Leagues, I was in several.

Which is why I hate bowling these days.  Huh?

Alleys these days try to be all trendy and crap.  They all look like a Scottsdale lounge with big couches and funky videos playing in the background.   And on any given weekend night you might get ""cosmic"" or ""glow"" bowling with the same thumping music and strobe lights you might find in a Scottsdale lounge!  The most egregious of these types of places is Lucky Strike in Boston (though Kings comes in a close second).  Bleck.  Not to mention they charge like $10 a game.

Which is why Sunset Bowl gets 4 stars.  My perfect alley is straight out of The Big Lebowski.  Complete with broken ball returns, balls that have extra holes drilled in them for no apparent reason, pool tables with ripped up felt, and the original Virtua Fighter arcade game.  $3 for shoes, $2.50 a game, $6 pitchers of beer.  Heaven.  The only way this place would have been better was if they had the old-school desks and overhead projectors to keep your own score.  But I doubt anyone these days is capable of keeping their own score - math is for computers.  Bah!  To their credit, the automatic scoring system would mess up and give/take an extra point on about 25% of the tosses.  Stellar.

 ""The Dude abides. . .""",5,XeoAojoz5johV2MQ5ngNig
55280,5,Scottsdale,230512,6yVe_iet5qD7SzVMhRYYog,944 Media,Print Media; Mass Media,"4253 N scottsdale Rd
#200
Scottsdale, AZ 85251",33.49817,-111.925638,True,11,2.5,AZ,5,2008-02-01,11,ba5UhiXwRXzWyNjfe0TqAQ,3.37,499,516,Jared,274,760,5,"Asking yourself ""what is the point of this magazine"" is like trying to find meaning in a Pauly Shore movie.  

There is no point!  Just sit back, relax, and allow yourself to be entertained.  Are you really expecting any sort of intellectual stimulation out of this magazine?  

944 Magazine is the perfect reading material when you're sitting on the toilet pushing one out.  You can go cover to cover in the 5-10 minutes you're on the john, laugh hysterically at points, get depressed over the future of society at other points, and otherwise keep yourself entertained.  And a bonus is that every once in a while you might find an event or new restaurant opening that piques your interest.  

And in the end, it's great for squishing scorpions.

Not to mention IT'S TOTALLY FREE.  I guess if you paid money for it, I can understand a little resentment.  But for a free throw-away?  Give me a break.

944 serves it's purpose perfectly.",4,XeoAojoz5johV2MQ5ngNig
132175,6,Tempe,172816,6ZYt8IChJmH3Ra5IqnlivA,Port of Subs,Sandwiches; Restaurants,"1342 W Warner Rd
Tempe, AZ 85281",33.3345479,-111.9619158,True,9,2.5,AZ,1,2008-07-07,1,EYflC9zYAaHj0ZHxo2BfxQ,3.92,1875,1233,Amy,539,2452,4,"I love port of subs!  OMG this place rocks!  Everything here is fresh on site.  The bread is cooked and fresh, and they have white, wheat and Sourdough.  They have 3 sized subs, and a menu a mile long.  They have 18 cold subs to choose from, and some hot subs to choose as well.

They cut the meat as you order your sandwich. Not predone like other lame chains that shall go unnamed.

I usually get a #18, which is Roast Beef and Turkey with cheese.  mmmm, tasty.  I usually order a really big sub, eat half there, and take the other half home to eat for later.  I like it here because I really feel like I get a lot of food for my money.

There are two reasons why I gave them 4 stars.  First, this location has really crappy hours.  They close early, and sometimes, I can't get to them before they close.  I think they close at like 6PM or something.  booo!  Who are you catering to with this schedule?  I think they should be open until at least 8 PM.  so, points lost for crappy hours.

The other thing I am docking them for, was I had a bad service experience there today.  There were 3 people working behind the counter that I could see.  One girl slicing meat, one guy running the register, and a third guy doing stock and stuff with bread in the oven.

Well, since I got the combo meal which includes a beverage and chips, I went to the chip area and it looked pretty hit and wiped out.  The only chips left were the crappy flavors that I do not like.  I want plain chips, thats all.  I didnt want jalapeno (stomach doesnt like it) nor did I want the Dill flavored either.  I asked the gentleman who was doing bread and stock if he had any plain chips available.  He was rather snappy with me and said ""if we had them, they would be out there.  Whatever we have is on the shelf.""  He quickly blew me off, and I was aggrivated.  He told me to look at the other chip stand to see if I could find what I was looking for. 

Fortunately, I got my plain chips, but nothing irriates me more then the annoying response of ""If we had it, it would be out there.""  Bullsh!t! Your just to lazy to go look.  I know you have cases of chips in the back, so stop stocking your cups and get me some chips.

Aside from the snotty stocker guy, the other two people working there were wonderful.   The register guy wrapped one half of my sandwich for me to go, and served the other one for me to stay and eat in the resturant.",3,JffajLV-Dnn-eGYgdXDxFg
24442,6,Tempe,172816,wOvAbdVYDaguotpdSALsfg,Hooters,Bars; American (Traditional); Sports Bars; Nightlife; Chicken Wings; Restaurants,"501 S Mill Ave
Tempe, AZ 85281",33.4253394,-111.9398532,True,43,2.5,AZ,0,2008-07-08,2,44deOg8RaHuN_NaorNp7Dg,3.64,85,82,Steven,139,194,1,"Why do people go to Hooters? I've never seen a girl with a decent rack there yet. You would think that would be a requirement of employment given the name of the place, but apparently it isn't. The peanut oil wings make me ill.

If you want to have young hot chicks dressed like tarts serve you greasy bar food then head downstairs to the Library or go to The Tilted Kilt (which actually has pretty decent food).",1,uEG5uD9wMJixGWxaq34IEw
46490,5,Scottsdale,230512,hl8aJEKqOYTEtKOpIxJ3mQ,Mike Vinson Automotive,Auto Repair; Automotive,"7123 E Earll Dr
Scottsdale, AZ 85251",33.4838791,-111.9277492,True,7,4.5,AZ,0,2008-08-03,1,KQ1VOqZVc9u8L88zKPy3ig,3.64,85,82,Steven,139,194,5,"I'll preface by saying whether you're going to Meineke or to your ridiculously overpriced local dealer I believe most mechanic managers/owners are the scum of the earth. It's amazing what will happen if you go to a few different places to get an estimate to fix your car and what they'll say needs fixed and the ranges in cost involved.

I was referred by a work friend and I don't trust my vehicle with anyone else. The service is good, prices are reasonable, and they are quick in getting the job done and done right.",3,uEG5uD9wMJixGWxaq34IEw
213778,5,Scottsdale,230512,aLZoFhOmDtonrWJzUzh8TA,China Lite,Korean; Thai; Chinese; Restaurants,"6941 N Hayden Rd
Ste B2
Scottsdale, AZ 85250",33.5377367,-111.9085442,True,21,3,AZ,0,2008-08-11,1,Sw3z8XpJtRDDihDq9yfA4g,3.64,85,82,Steven,139,194,3,"Chinese food is generally speaking horrible for you, but this place bucks the trend. They use healthy fresh ingredients, and don't drown the meals in sauce. I've had the whole menu and can say I've liked everything. Great prices too.",1,uEG5uD9wMJixGWxaq34IEw
37802,0,Phoenix,1537058,V1nEpIRmEa1768oj_tuxeQ,Cibo,Italian; Pizza; Sandwiches; Restaurants,"603 N 5th Ave
Phoenix, AZ 85003",33.4548476,-112.0800705,True,594,4.5,AZ,4,2008-08-28,2,2nPtGyXvxGUljgKYDCRiUA,3.37,499,516,Jared,274,760,4,"I've been here a few times and Cibo seems to follow the same story as many of the restaurants downtown - quaint atmosphere, great service, mediocre food.  I've had various pizzas and calzones and antipasto/salads, and haven't been truly impressed with any of them in the sort of take-a-bite-and-exclaim-with-joy kind of way.  But they are definitely all solid.  Perhaps it's just the New Yorker in me that can't cope with ""gourmet-style"" pizza - I'm not sure ANY pizza would ever leave me feeling like I've had an incredible culinary experience.  So no fault to Cibo.

Anyway. . .if the pizza only gets you halfway to orgasm, then any of the nutella crepes will put you over the top and have you begging for more.  I can appreciate an outstanding finish like that to a good meal.

And, of course, the converted house appeal with a nice patio and great service is always appreciated.",4,XeoAojoz5johV2MQ5ngNig
134441,0,Phoenix,1537058,lvpXyfTDF5WZnjzc36r5Wg,Lucky Boy Burger Shop,Burgers; Restaurants,"3430 N 16th St
Phoenix, AZ 85016",33.487843,-112.048021,True,101,4,AZ,3,2009-04-02,4,ugdoESg_eCKVB0emjtfweg,4.03,66,46,Xavier,61,98,5,I finally lost my Lucky Boy Burger virginity! It reminded me of a small town burger joint. Great burgers and hot dogs. Can't say enough about the fries and onion rings. Wow! Prices are great. Pure freshness. I loved most that the service was excellent. This is definitely one of my fave burger joints. *CHEERS*,5,7F-DVLnGmC5hHPUVfSfxDw
76202,6,Tempe,172816,MkG0X_ubfBRoxvjxYvldbA,Port of Subs,Sandwiches; Restaurants,"1158 W Washington Street
Tempe, AZ 85281",33.442375,-111.955643,True,16,3.5,AZ,4,2009-04-04,8,HcfXwBZ0tdbw3W97hA2Osw,3.92,1875,1233,Amy,539,2452,5,"dew bow bow.ooooooo yyyyeeeaaaa.....dew bow bow.

This is the song that I should be singing, as I slowly enter the Port of Subs after deboarding the light rail.  Port of Subs is my drug of choice, and eating such tasty subs makes me happy.  I got 12 inches last night...12 inches of subs....and it tasted so good!  nomnomnomnom!

Port of Subs never fails me.  Its just so good!  All bread cooked on site, and not like the chain sub places, its actually really really good!  I got the #18, lots of meat and whatever I wanted.  Tasty!

Thank you Port of Subs, thank you.  Eating here makes my brain and stomach delightfully happy!",6,JffajLV-Dnn-eGYgdXDxFg
206261,20,Paradise Valley,13663,h3T8DTVDtPzy9ICw3UixdQ,El Torito Mexican Restaurant & Cantina,Mexican; Restaurants,"6200 N Scottsdale Rd
Paradise Valley, AZ 85253",33.5277785,-111.9258643,False,17,4,AZ,2,2009-06-21,0,W_4T7fa9x2CxlBAQFnWuKA,3.17,23,27,Kristen,86,108,5,"Champagne brunch at El Torito is amazing. Great buffet and all you can drink champagne for $15. Not authentic mexican food but, it's tasty!",1,AVCBC2G5RjJM8tu_PebFPw
